Search query: apoptosis
Year,Count
2025,8579
2024,34084
2023,32947
2022,36023
2021,38641
2020,38332
2019,35140
2018,32807
2017,30789
2016,29383
2015,29555
2014,28111
2013,26857
2012,25059
2011,23372
2010,22285
2009,20242
2008,19742
2007,18922
2006,17941
2005,16790
2004,15414
2003,13996
2002,12436
2001,11475
2000,10380
1999,8694
1998,7255
1997,5695
1996,4063
1995,2727
1994,1646
1993,841
1992,409
1991,183
1990,103
1989,63
1988,38
1987,28
1986,28
1985,24
1984,19
1983,19
1982,12
1981,12
1980,6
1979,9
1978,2
1977,7
1976,6
1975,3
1974,2
1973,3
1972,3
1965,2
1963,1
1962,1
1961,1
1960,1
1959,1
1957,1
1956,2
1955,2
1953,1
1951,1
1948,1
1947,1
