Search query: autophagy
Year,Count
2024,385
2023,9945
2022,10526
2021,10618
2020,9651
2019,8272
2018,7274
2017,6529
2016,5511
2015,5017
2014,4338
2013,3688
2012,3023
2011,2316
2010,1874
2009,1442
2008,1075
2007,730
2006,492
2005,280
2004,181
2003,136
2002,107
2001,105
2000,83
1999,45
1998,32
1997,51
1996,31
1995,30
1994,17
1993,35
1992,29
1991,27
1990,29
1989,22
1988,33
1987,37
1986,32
1985,44
1984,36
1983,35
1982,41
1981,42
1980,38
1979,27
1978,17
1977,26
1976,23
1975,19
1974,7
1973,7
1972,11
1971,7
1970,2
1969,5
1968,2
1967,3
1966,1
1965,1
1963,1
